OGF_ID,Owl_Type,Locaction_Accuracy,Sensitivity_Class,Nesting_Activity_Status,Nest_Support_Type,Nest_Tree_Condition,Tree_Species_Common_Name,Nest_Width,Nest_Depth,Nest_Stick_Diameter,Nest_Construction_Category,Effective_Date_Time,Survey_Notes,Long,Lat
115689057,Great Horned Owl ,Within 50 metres,Non-Sensitive,Active - Primary Nest or Colony,Tree,Alive,Jack Pine,Not Specified,Not Specified,Not Specified,Not Specified,2017/04/13 09:42:38+00,"North Of Highway 17 West On The Whiteshell River . Bird In The Nest When Found On Aws Flight March 27, 2017. New Nest ",-95.11778168,49.75588749
112504569,Great Horned Owl ,Within 10 metres,Non-Sensitive,Active - Primary Nest or Colony,Building,Not Applicable,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2016/04/26 17:12:13+00,Located Underneath The Bridge On The Premier Rd.  Owlet On Nest Pictures Taken Of Owlet And Adult On Site.  Nest Located Under The Bridge.,-91.26664286,48.85029007
1100513454,Great Gray Owl ,Very Accurate (to 2m),Non-Sensitive,Not Applicable,Not Specified,Not Specified,Balsam Poplar,Not Specified,Not Specified,Not Specified,Not Specified,2002/01/24 07:44:59+00,Iruam Road Active '93 ; Dead Poplar ; Stick Nest ; Nest Blown Down May '94; Female (608-65054); Chick (608-65055) ; Chick (608-65056)  ,-94.39403458,50.82951847
1100513452,Great Gray Owl ,Very Accurate (to 2m),Non-Sensitive,Active - Primary Nest or Colony,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1999/04/13 15:39:04+00,Marten Road Active '94 ; Jackpine; Stick Nest ; Male (608-99904)  ,-94.36123928,50.87143678
1100513453,Great Gray Owl ,Very Accurate (to 2m),Non-Sensitive,Active - Primary Nest or Colony,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1999/04/13 15:39:04+00,Iriam Road Active '94 ; Dead Jackpine ; Sticknest ; Female (608-65054) Recap ; Chick (608-99902) ; Chick (608-99901)  ,-94.39255168,50.84508797
1100513482,Great Gray Owl ,Very Accurate (to 2m),Non-Sensitive,Active - Primary Nest or Colony,Tree,Dead,Balsam Poplar,Not Specified,Not Specified,Not Specified,Not Specified,1999/11/17 15:46:03+00,"2 Chicks/1 F All Banded              Band#'S    Chick 608-65049, Chick 608-65050, Female 608-65048 | Great Gray Owl Nesting Site - Overnite  ",-93.79537185,50.6131235
1100513481,Great Gray Owl ,Very Accurate (to 2m),Non-Sensitive,Active - Primary Nest or Colony,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1999/04/13 15:39:03+00,Bond Road Active '93 ; Dead Poplar; Stump Nest  ,-94.08703634,50.61907177
251704727,Barred Owl ,Within 100 metres,Non-Sensitive,Active - Primary Nest or Colony,Tree,Alive,Sugar Maple,Not Specified,Not Specified,Not Specified,Not Specified,2009/09/22 15:05:41+00, Nest Lgl4. Barred Owl Nest In 45Cm Dbh Sugar Maple  ,-76.61120522,45.20046408
125524110,Barred Owl ,Within 10 metres,Non-Sensitive,Active - Primary Nest or Colony,Tree,Alive,Sugar Maple,Not Specified,Not Specified,Not Specified,Not Specified,2019/04/26 10:39:18+00,"Cavity Of Mh Tree, 46 Cm Dbh Cavity Nest, Approx Half Way Up The Stem Of 46 Cm Dbh Mh. Owl Spotted In Cavity On More Than One Occaision. Cavity Is Natural Owl Spotted In Cavity On More Than One Occiasion.  Cavity Is Natural.",-79.71995612,46.00324007
110331418,Eastern Screech-Owl ,Within 10 metres,Non-Sensitive,Inactive,Tree,Alive,Yellow Birch,75 to 150 cm,Deep,Mostly pencil-sized and smaller,Solid but not shaggy,2015/08/18 14:14:08+00,Nest In Good Condition. Mature Hardwood Dominated Interior Forest Habitat.,-77.97379466,45.1022043
53976788,Great Horned Owl ,Within 50 metres,Non-Sensitive,Active - Primary Nest or Colony,Tree,Alive,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2004/05/07 13:24:33+00,"Birch Twp, West Of Wenebegon Lake.
Beside Cut Road Right-Of-Way | Great-Horned Owl Nest Site In Live Po  ",-83.14655078,47.3793964
115613481,Great Horned Owl ,Within 20 metres,Non-Sensitive,Active - Primary Nest or Colony,Tree,Alive,Balsam Poplar,More than 150 cm,Shallow,Mostly pencil-sized and larger,Solid and shaggy,2017/03/31 15:31:09+00,Nest Located At Hwy 72 At Tamaka Gold Road. Site Can Be Accessed Via Helicopter And Road. ,-92.29969596,49.89534563
71823234,Great Horned Owl ,Within 50 metres,Non-Sensitive,Inactive,Tree,Alive,Jack Pine,Less than 75 cm,Shallow,Mostly pencil-sized and smaller,Loosely built,2017/02/10 11:59:55+00,"Holmes Twp, Tully Lake. New Nest 2011-Feb-25 (Kl Nest Survey); Nest Not Found 2017-Jan-26;   ",-80.5092476,48.03560455
125518029,Great Horned Owl ,Within 10 metres,Non-Sensitive,Active - Primary Nest or Colony,Tree,Alive,Jack Pine,75 to 150 cm,Shallow,Mostly pencil-sized and larger,Loosely built,2019/04/23 13:43:29+00,Behing Opp Building Tisdale Twp.  ,-81.21543009,48.48685668
125518067,Great Horned Owl ,Within 10 metres,Non-Sensitive,Active - Primary Nest or Colony,Tree,Alive,Jack Pine,75 to 150 cm,Shallow,Not Specified,Loosely built,2019/04/23 13:50:42+00,"Last House On Left, Kamiskotia Hwy. Robb Twp.  ",-81.63387264,48.58451637
70749563,Barred Owl ,Within 2 metres,Non-Sensitive,Inactive,Tree,Not Specified,Sugar Maple,Not Specified,Not Specified,Not Specified,Not Specified,2019/12/09 15:56:36+00, 2018 - Nest Visited But Not Found Suspect That Nest Was A Cavity Within Tree. Fairly Certain We Had Correct Tree As There Was Flagging All Around. Not Found During Values Flights.  ,-79.06735162,46.13096982
122372036,Great Horned Owl ,Within 10 metres,Non-Sensitive,Active - Primary Nest or Colony,Building,Not Applicable,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2019/08/12 14:50:33+00,Found Within Bridge. Nest Present.,-85.22179673,50.01367985
110326712,Long-eared Owl ,Within 5 metres,Non-Sensitive,Active - Primary Nest or Colony,Tree,Alive,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2015/07/15 16:04:25+00,"South Of Aubrey Lake Contacted By Property Owner To Report Nest, May Have Taken Over A Ravens Nest, 2 Young Owls Were On Nest During Ground Visit, Adult Still Present.",-92.99396884,49.75872266
106697239,Great Horned Owl ,Within 20 metres,Non-Sensitive,Active - Primary Nest or Colony,Tree,Alive,Balsam Fir,75 to 150 cm,Deep,Mostly pencil-sized and larger,Solid but not shaggy,2013/07/29 15:33:27+00,Beside Clearwater Creek And Old Cn Line Bike Trail Recently Built Below The Nest Resulting In Inactive In Nest Presently (2012).  Offspring In Nest In 2010 & 2011 Offspring In Nest Offspring In Nest In 2010,-88.26020125,49.00983111
112737177,Great Horned Owl ,Within 10 metres,Non-Sensitive,Active - Primary Nest or Colony,Tree,Alive,Trembling Aspen,,Not Specified,Not Specified,Not Specified,2016/06/02 10:48:42+00, 1 Adult Near By And 2 Owlets In Nest  ,-81.44209996,49.18834007
